zone_id,fcu_id,fcu_type_id
154,254,2.0
154,255,2.0
154,256,2.0
155,257,2.0
156,229,1.0
156,230,1.0
157,231,1.0
157,232,1.0
158,233,1.0
159,234,1.0
160,235,1.0
161,236,2.0
161,237,2.0
162,238,1.0
163,239,1.0
164,240,2.0
165,241,1.0
166,242,1.0
167,243,2.0
167,244,2.0
168,245,1.0
169,248,2.0
170,247,2.0
171,246,2.0
172,249,2.0
173,250,2.0
174,251,2.0
175,253,2.0
176,252,2.0
