zone_id,timestamp,name,measurement_group_id,zone_orientation,zone_description,zone_active,floor_id
135,2018-03-20 17:29:18.369990,C08-04,17,180,"",true,10
149,2018-03-20 17:29:18.369990,C08-18,17,180,"",true,10
150,2018-03-20 17:29:18.369990,C08-19,17,180,"",true,10
151,2018-03-20 17:29:18.369990,C08-20,17,180,"",true,10
152,2018-03-20 17:29:18.369990,C08-21,17,180,"",true,10
153,2018-03-20 17:29:18.369990,C08-22,17,180,"",true,10
154,2018-03-20 17:29:18.369990,C09-01,19,180,"",true,11
155,2018-03-20 17:29:18.369990,C09-02-1,19,180,"",true,11
169,2018-03-20 17:29:18.369990,C09-16-1,19,180,"",true,11
170,2018-03-20 17:29:18.369990,C09-16-2,19,180,"",true,11
171,2018-03-20 17:29:18.369990,C09-16-3,19,180,"",true,11
172,2018-03-20 17:29:18.369990,C09-17,19,180,"",true,11
173,2018-03-20 17:29:18.369990,C09-18-1,19,180,"",true,11
174,2018-03-20 17:29:18.369990,C09-18-2,19,180,"",true,11
175,2018-03-20 17:29:18.369990,C09-19-1,19,180,"",true,11
176,2018-03-20 17:29:18.369990,C09-19-2,19,180,"",true,11
177,2018-03-20 17:29:18.369990,C10-01,21,180,"",true,12
232,2018-06-05 07:45:50.356977,C00-02-5,1,180,"",true,2
233,2018-06-05 07:45:50.356977,C00-02-7,1,180,"",true,2
234,2018-06-05 07:45:50.356977,C00-02-6,1,180,"",true,2
245,2018-06-05 07:45:50.356977,C00-09,1,180,"",true,2
246,2018-06-05 07:45:50.356977,C00-12,1,180,"",true,2
247,2018-06-05 07:45:50.356977,C00-13,1,180,"",true,2
248,2018-06-05 07:45:50.356977,C00-14,1,180,"",true,2
1,2018-03-20 17:29:18.369990,C01-01,3,180,"",true,3
12,2018-03-20 17:29:18.369990,C01-10-1,3,180,"",true,3
13,2018-03-20 17:29:18.369990,C01-11,3,180,"",true,3
14,2018-03-20 17:29:18.369990,C01-12,3,180,"",true,3
88,2018-03-20 17:29:18.369990,C05-13,11,180,"",true,7
190,2018-03-20 17:29:18.369990,C10-13,21,180,"",true,12
191,2018-03-20 17:29:18.369990,C10-14,21,180,"",true,12
192,2018-03-20 17:29:18.369990,C10-15,21,180,"",true,12
193,2018-03-20 17:29:18.369990,C11-01,23,180,"",true,13
194,2018-03-20 17:29:18.369990,C11-02,23,180,"",true,13
208,2018-03-20 17:29:18.369990,C11-16,23,180,"",true,13
209,2018-03-20 17:29:18.369990,C11-17,23,180,"",true,13
210,2018-03-20 17:29:18.369990,C11-18,23,180,"",true,13
211,2018-03-20 17:29:18.369990,C11-19,23,180,"",true,13
212,2018-03-20 17:29:18.369990,C11-20,23,180,"",true,13
213,2018-03-20 17:29:18.369990,C12-02,25,180,"",true,14
228,2018-03-20 17:29:18.369990,C12-16,25,180,"",true,14
229,2018-03-20 17:29:18.369990,C12-17-1,25,180,"",true,14
230,2018-03-20 17:29:18.369990,C12-17-2,25,180,"",true,14
231,2018-03-20 17:29:18.369990,C12-18,25,180,"",true,14
130,2018-03-20 17:29:18.369990,C07-16-1,15,180,"",false,9
156,2018-03-20 17:29:18.369990,C09-04,20,0,"",true,11
